,Movies,Ratings
0,1.      Planet Earth II(2016),9.4
1,2.      Breaking Bad(2008),9.4
2,3.      Planet Earth(2006),9.4
3,4.      Band of Brothers(2001),9.4
4,5.      Chernobyl(2019),9.3
5,6.      The Wire(2002),9.3
6,7.      Blue Planet II(2017),9.2
7,8.      Avatar: The Last Airbender(2005),9.2
8,9.      Cosmos: A Spacetime Odyssey(2014),9.2
9,10.      The Sopranos(1999),9.2
10,11.      Cosmos(1980),9.2
11,12.      Our Planet(2019),9.2
12,13.      Game of Thrones(2011),9.1
13,14.      Rick and Morty(2013),9.1
14,15.      The World at War(1973),9.1
15,16.      Hagane no renkinjutsushi(2009),9.1
16,17.      The Last Dance(2020),9.0
17,18.      Life(2009),9.0
18,19.      Sherlock(2010),9.0
19,20.      The Twilight Zone(1959),9.0
20,21.      The Vietnam War(2017),9.0
21,22.      Bluey(2018),9.0
22,23.      Batman: The Animated Series(1992),9.0
23,24.      Scam 1992: The Harshad Mehta Story(2020),9.0
24,25.      Arcane: League of Legends(2021),8.9
25,26.      The Blue Planet(2001),8.9
26,27.      Shingeki no Kyojin(2013),8.9
27,28.      The Office(2005),8.9
28,29.      Firefly(2002),8.9
29,30.      Human Planet(2011),8.9
30,31.      Frozen Planet(2011),8.9
31,32.      Death Note: Desu nôto(2006),8.9
32,33.      Only Fools and Horses....(1981),8.9
33,34.      The Civil War(1990),8.9
34,35.      Hunter x Hunter(2011),8.9
35,36.      True Detective(2014),8.9
36,37.      Better Call Saul(2015),8.9
37,38.      Seinfeld(1989),8.9
38,39.      The Beatles: Get Back(2021),8.9
39,40.      Dekalog(1989),8.9
40,41.      Sahsiyet(2018),8.9
41,42.      Fargo(2014),8.9
42,43.      Kaubôi bibappu(1998),8.9
43,44.      Clarkson's Farm(2021),8.9
44,45.      Nathan for You(2013),8.8
45,46.      Gravity Falls(2012),8.8
46,47.      When They See Us(2019),8.8
47,48.      Last Week Tonight with John Oliver(2014),8.8
48,49.      Friends(1994),8.8
49,50.      TVF Pitchers(2015),8.8
50,51.      Africa(2013),8.8
51,52.      Apocalypse: La 2ème guerre mondiale(2009),8.8
52,53.      Monty Python's Flying Circus(1969),8.8
53,54.      It's Always Sunny in Philadelphia(2005),8.8
54,55.      Taskmaster(2015),8.8
55,56.      Das Boot(1985),8.8
56,57.      The West Wing(1999),8.8
57,58.      Curb Your Enthusiasm(2000),8.8
58,59.      Pride and Prejudice(1995),8.8
59,60.      Fawlty Towers(1975),8.8
60,61.      Leyla ile Mecnun(2011),8.8
61,62.      Freaks and Geeks(1999),8.8
62,63.      Gibi(2021),8.8
63,64.      Blackadder Goes Forth(1989),8.7
64,65.      Twin Peaks(1990),8.7
65,66.      Black Mirror(2011),8.7
66,67.      BoJack Horseman(2014),8.7
67,68.      Narcos(2015),8.7
68,69.      Succession(2018),8.7
69,70.      Chappelle's Show(2003),8.7
70,71.      Dragon Ball Z(1989),8.7
71,72.      Dragon Ball Z: Doragon bôru zetto(1989),8.7
72,73.      One Piece: Wan pîsu(1999),8.7
73,"74.      I, Claudius(1976)",8.7
74,75.      South Park(1997),8.7
75,76.      Rome(2005),8.7
76,77.      Six Feet Under(2001),8.7
77,78.      Over the Garden Wall(2014),8.7
78,79.      Peaky Blinders(2013),8.7
79,80.      Ted Lasso(2020),8.7
80,81.      Oz(1997),8.7
81,82.      Kota Factory(2019),8.7
82,83.      Dark(2017),8.7
83,84.      The Mandalorian(2019),8.7
84,85.      Steins;Gate(2011),8.7
85,86.      Arrested Development(2003),8.7
86,87.      The Boys(2019),8.7
87,88.      One Punch Man: Wanpanman(2015),8.7
88,89.      The Simpsons(1989),8.7
89,90.      Fleabag(2016),8.7
90,91.      The Shield(2002),8.7
91,92.      House M.D.(2004),8.7
92,93.      Battlestar Galactica(2004),8.6
93,94.      Downton Abbey(2010),8.6
94,95.      Stranger Things(2016),8.6
95,96.      Gullak(2019),8.6
96,97.      Invincible(2021),8.6
97,98.      Panchayat(2020),8.6
98,99.      Sarabhai V/S Sarabhai(2004),8.6
99,100.      Mad Men(2007),8.6
100,101.      Vinland Saga(2019),8.6
101,102.      Severance(2022),8.6
102,103.      Peep Show(2003),8.6
103,104.      Star Trek: The Next Generation(1987),8.6
104,105.      The Marvelous Mrs. Maisel(2017),8.6
105,106.      The Adventures of Sherlock Holmes(1984),8.6
106,107.      House of Cards(2013),8.6
107,108.      Friday Night Lights(2006),8.6
108,109.      The Grand Tour(2016),8.6
109,110.      Kenpuu Denki Berserk(1997),8.6
110,111.      Top Gear(2002),8.6
111,112.      The Crown(2016),8.6
112,113.      The Thick of It(2005),8.6
113,114.      Justice League Unlimited(2004),8.6
114,115.      1883(2021),8.6
115,116.      Line of Duty(2012),8.6
116,117.      Mahabharat(1988),8.6
117,118.      Father Ted(1995),8.6
118,119.      Aspirants(2021),8.6
119,120.      Deadwood(2004),8.6
120,121.      Parks and Recreation(2009),8.6
121,122.      The X Files(1993),8.6
122,123.      Dexter(2006),8.6
123,124.      This Is Us(2016),8.6
124,125.      The Jinx: The Life and Deaths of Robert Durst(2015),8.6
125,126.      Behzat Ç.: Bir Ankara Polisiyesi(2010),8.6
126,127.      Atlanta(2016),8.6
127,128.      Naruto: Shippûden(2007),8.6
128,129.      Primal(2019),8.6
129,130.      Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion(2006),8.6
130,131.      Blackadder II(1986),8.6
131,132.      Bron/Broen(2011),8.6
132,133.      Daredevil(2015),8.6
133,134.      It's a Sin(2021),8.6
134,135.      Ramayan(1987),8.6
135,136.      Kimetsu no Yaiba(2019),8.6
136,137.      Heartstopper(2022),8.6
137,138.      Archer(2009),8.6
138,139.      Mystery Science Theater 3000(1988),8.6
139,140.      Monster(2004),8.6
140,141.      Lonesome Dove(1989),8.6
141,142.      Adventure Time(2010),8.6
142,143.      Yellowstone(2018),8.6
143,144.      The Return of Sherlock Holmes(1986),8.6
144,145.      Young Justice(2010),8.6
145,146.      Gomorra: La serie(2014),8.6
146,147.      Critical Role(2015),8.6
147,148.      Yeh Meri Family(2018),8.6
148,149.      Blackadder the Third(1987),8.6
149,150.      Mindhunter(2017),8.5
150,151.      Haikyuu!!(2014),8.5
151,152.      QI(2003),8.5
152,153.      Anne(2017),8.5
153,154.      Bleach: Sennen Kessen-hen(2022),8.5
154,155.      Dopesick(2021),8.5
155,156.      Mr. Bean(1990),8.5
156,157.      Poirot(1989),8.5
157,158.      Yes Minister(1980),8.5
158,159.      Making a Murderer(2015),8.5
159,160.      Boardwalk Empire(2010),8.5
160,161.      Justified(2010),8.5
161,162.      The Rehearsal(2022),8.5
162,163.      The Eric Andre Show(2012),8.5
163,164.      The Newsroom(2012),8.5
164,165.      Pose(2018),8.5
165,166.      The Offer(2022),8.5
166,167.      The Haunting of Hill House(2018),8.5
167,168.      The Bugs Bunny Show(1960),8.5
168,169.      Sa-rang-eui bul-shi-chak(2019),8.5
169,170.      The Queen's Gambit(2020),8.5
170,171.      Formula 1: Drive to Survive(2019),8.5
171,172.      Impractical Jokers(2011),8.5
172,173.      Flight of the Conchords(2007),8.5
173,174.      Justice League(2001),8.5
174,175.      Dragon Ball: Doragon bôru(1986),8.5
175,176.      Dragon Ball(1995),8.5
176,177.      Coupling(2000),8.5
177,178.      The Venture Bros.(2003),8.5
178,179.      Spaced(1999),8.5
179,180.      Battlestar Galactica(2003),8.5
180,181.      Homicide: Life on the Street(1993),8.5
181,182.      El Chavo del Ocho(1972),8.5
182,183.      Long Way Round(2004),8.5
183,184.      Le Bureau des Légendes(2015),8.5
184,"185.      Yes, Prime Minister(1986)",8.5
185,186.      What We Do in the Shadows(2019),8.5
186,187.      Samurai chanpurû(2004),8.5
187,188.      Senke nad Balkanom(2017),8.5
188,189.      The IT Crowd(2006),8.5
189,190.      Louie(2010),8.5
190,191.      I'm Alan Partridge(1997),8.5
191,192.      Mr. Robot(2015),8.5
192,193.      The Office(2001),8.5
193,194.      The Family Man(2019),8.5
194,195.      Chainsaw Man(2022),8.5
195,196.      Through the Wormhole(2010),8.5
196,197.      Letterkenny(2016),8.5
197,198.      Whose Line Is It Anyway?(1998),8.5
198,199.      Shameless(2011),8.5
199,200.      Westworld(2016),8.5
200,201.      Mob Psycho 100(2016),8.5
201,202.      Samurai Jack(2001),8.5
202,203.      Spartacus: Blood and Sand(2010),8.5
203,204.      Detectorists(2014),8.5
204,205.      Ezel(2009),8.5
205,206.      Brass Eye(1997),8.5
206,207.      Sons of Anarchy(2008),8.5
207,208.      Skam(2015),8.5
208,209.      Endeavour(2012),8.5
209,210.      North & South(2004),8.5
210,211.      I-sang-han byeon-ho-sa U-yeong-u(2022),8.5
211,212.      Hagane no renkinjutsushi(2003),8.5
212,213.      Shin seiki evangerion(1995),8.5
213,214.      Doctor Who(2005),8.5
214,215.      Trailer Park Boys(2001),8.5
215,216.      Twin Peaks(2017),8.5
216,217.      Silicon Valley(2014),8.5
217,218.      From the Earth to the Moon(1998),8.5
218,219.      Spartacus: Gods of the Arena(2011),8.5
219,220.      Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen(1999),8.5
220,221.      Futurama(1999),8.5
221,222.      Jujutsu Kaisen(2020),8.5
222,223.      Hannibal(2013),8.5
223,224.      Schitt's Creek(2015),8.4
224,225.      Cobra Kai(2018),8.4
225,226.      Umbre(2014),8.4
226,227.      Community(2009),8.4
227,228.      Mr Inbetween(2018),8.4
