title,soldprice,link
Shop on eBay,20.00,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Canon EOS 2000D 24.1MP DSLR Camera + 18-55mm Lens + 8GB Accessory Bundle,14887,https://www.ebay.fr/itm/144865623385?hash=item21baa9fd59:g:rHUAAOSwWYxjol8O&amdata=enc%3AAQAHAAAAoHDUSCSF4OeualsI1MMSzbIMk24nRbu26Wt57nocVPjzmnNhtIIwMyVT0XT8LFnH0ALdZCkvOXPpmgSuQU0OBdWkWdAqHr%2Fq1LCrNIKIeNqfXD6cJMS2igVWZ8HeEeaNKaPE4mVmAzw7GWh6FsBbEbmyeHgCCTTBAiQxNSpLSR4gdjppJ3MNHNmo6Q2ZEsbQJweNut9V%2BzHl3%2Frel8YLjeg%3D%7Ctkp%3ABk9SR9rwvZOvYQ
Nouvelle annonceCANON PRIMA MINI II 35MM POINT & SHOOT FILM CAMERA SURE SHOT SLEEK FILM TESTED,3373,https://www.ebay.fr/itm/285097283141?hash=item42611f4e45:g:-yoAAOSwe29jkj7N&amdata=enc%3AAQAHAAAAkGUXEiE1ktAqHm0psw%2F2IvUhK%2FEqKc8fCe5wcHZOvJPkt70N9zhHyJONA5cWHTn0K%2FPLELwvuMJPvPBX%2FIpQNqAueg5argISazRm2Yfxe9tMx9wdWWdWvbR9TLFf7bnXsV0t8W4W45v50ApgVzW6WAYzNiXo68JAId3kKJCeQSY%2BIE1zv39eejjVjuEjCHfJJw%3D%3D%7Ctkp%3ABk9SR9rwvZOvYQ
Nouvelle annonceCanon EOS 6D + CANON EF 24-105 4L KIT,29999,https://www.ebay.fr/itm/385330281872?hash=item59b7797d90:g:L84AAOSwbmpjdSOg&amdata=enc%3AAQAHAAAAoPwGPHFxBY7O3d4WhKZD9DQqqMhKB4uQ39x6VzVQ2%2Bj7jpKHiNlEgAhIKv3lJ0T7QlkUW4WFkYLaTL7JrmQfuSJNTXwJTBJeVXgj8xYYLkqikXFRc6cm977h5cDN8WR3D%2FNMQJIQgyBXaqlmerWHboRBruQnIEyJhCCqR6b1HcEBWoDPD%2FhLFXARF58KcsGqEHI%2BAlTTDuPmyMWDRtTSN5o%3D%7Ctkp%3ABk9SR9rwvZOvYQ
"Nouvelle annonceCanon EOS 6D Mark II Camera Body Used Excellent Condition - Shot Ct. 43,695",79548,https://www.ebay.fr/itm/325486086283?hash=item4bc87b888b:g:s2YAAOSwQfFjkhpr&amdata=enc%3AAQAHAAAAkHlnagNQlWbdKr%2FN6SHCh7N9VgI0ZLe5QLdh1bvEucLM7z9fyjyS%2FNOpB9w9UimWFmX%2FXsxaAwwUxBlPSZBTkJB%2F0DwuqU%2F%2F2dUgSLVsdV7M40rLdqTcQiAFartCXYjrBW%2F%2BRXSLN3%2FLc95%2BWBKJu2%2F2hwh64bvD%2BvV7DGW9gUJoRRkIGXbo6S0iSJuQlRLikQ%3D%3D%7Ctkp%3ABk9SR9rwvZOvYQ
Nouvelle annonceBOÎTIER D'APPAREIL PHOTO 35 MM CANON AE-1,5634,https://www.ebay.fr/itm/364098488990?hash=item54c5f60a9e:g:ryUAAOSwqw5jtD26&amdata=enc%3AAQAHAAAAkEcvOpXfR25ANEh7489lIUsk07PN7sBzW80j65ydE9MDRLOn2uK0Og6ShdjjU%2FbB1QRD%2FrvOmffeAfOiwKwGwwY53kTPphFwZ4CS0%2Fsc5ZpPjNAnyhuSQ1dDXNu05kjSdh1svx1cQzoTJTp51Hmd%2FMeSiSokZPHpT5wICOSdNtiMFwRSZGFNV9K0o4VuoC5spA%3D%3D%7Ctkp%3ABk9SR9rwvZOvYQ
Nouvelle annonceCanon PowerShot A650 IS 12.1MP Digital Camera - Silver & Black,4797,https://www.ebay.fr/itm/255909713094?hash=item3b956854c6:g:BX4AAOSwCbtjtEtE&amdata=enc%3AAQAHAAAA0AeK4ItNOxI8CA690SvVbAlrCR1gxxHy39AVCcHdM9Vv7e18qlIH%2BHjCO%2Fon%2FGar%2FF0oPEV4ROTQeqq5atsvsUMePltJLfTybS1LDfwQ2G7SniUUk4naJ1IyySwvjfuTRLA5i4WEuMmJQehfA4O8NBtI11asupGM0YHywUP%2F1xCW4ykEtG6Y%2F5QR%2FKRNeYevqC06P0TA2gDzyeDsJ8WbjN8ZQU70RuOlWCi5Hs66il6BYHuDGZXITa1DPtIlWiDjCtOjTitUvGU8NvomK4HiSpg%3D%7Ctkp%3ABk9SR9zwvZOvYQ
Nouvelle annonceCanon PowerShot A480 10.0MP Digital Camera Red 3.3x Zoom Full Pack Tested Works,7496,https://www.ebay.fr/itm/175559830589?hash=item28e02e6c3d:g:VHoAAOSwoRRjtIIo&amdata=enc%3AAQAHAAAA0K4yTjZDGK2yYhGF%2BMrQHjVn%2BRZiTv%2Bm8uCwJHM02maZ54azcRpJV%2BqkAwBF%2BZuoDiUhvuh8xD4B66OGhMB5BjHLv9RDxcY%2FQzFdmQgCRq1c%2FbxOcM7mA6%2FVPHOl6lUHxP7gO80oopKJkk4Mx%2Fma1ZBoK%2BGK7Lr8nkfHhQBwNbB1d9zXzmj0gIXUsBXtcmv9JDQma3RZdvJLiT1%2BJTyau3axJGo2jGtwzHW2lrrNpjGQMC1I6HK2g41Ud%2BO53B0g%2BC59k1B3RHIQeD9qlvHp6oI%3D%7Ctkp%3ABk9SR9zwvZOvYQ
"Nouvelle annonceCanon Lens FD 50mm 1: 1,8",1500,https://www.ebay.fr/itm/314303009065?hash=item492deb5129:g:27QAAOSwantjtHzV&amdata=enc%3AAQAHAAAAkJIsfC26LT88o1OA4Y3nONkez%2B8Oeaw0gZOCE%2Fh%2FPbmbn%2BVhi9JilvF5%2BwvQU%2Fw7SktKY14%2BuiYbfhXBcdOlRj%2BaVNEGSmZ51J0Wa%2BUxap60RAuEf%2FPv1GACLkopWUJxz1XKnaU09Txwc6y2BBYt8Fhy8G2ftnb0rryeCqOWXx1aItlfX9RAo6DLUUU6%2B7%2BuaA%3D%3D%7Ctkp%3ABk9SR9zwvZOvYQ
Nouvelle annonceAppareil photo compact Canon PowerShot G7 X Mark II - batterie supplémentaire,22542,https://www.ebay.fr/itm/115661846698?hash=item1aedfbb8aa:g:y1cAAOSw0WFjtIPN&amdata=enc%3AAQAHAAAAkIOp0AL%2Fotm2WBjc%2BMupgQBZxc9riXcae4tcuVV9s5%2BHQm62FM15RLo2CvKwC0aRVVBNX54CAIjYrumMJP9EQqdkQg9H6QYmD%2FXSqHrQO%2FzihRXBJkzasxetasrXx5dzL4X37POGHSSxq8oW7MWzyv747FDvQbCgcZ70FBu7jbRor1LDtJmfGTdcC2oE%2FtaeGQ%3D%3D%7Ctkp%3ABk9SR9zwvZOvYQ
Nouvelle annonceCanon PowerShot A540 6.0MP Digital Camera Silver 4x Zoom -Tested All Functions!,3139,https://www.ebay.fr/itm/304759158060?hash=item46f50fb52c:g:rgAAAOSwp6JjtFAO&amdata=enc%3AAQAHAAAAkAWaD3WS2b6qyPoUgU01HfdjfvYT0KMu8nbojfJnsZlfhIxI%2BecrwQx7h11j4aS6E9CZYABvotYVcGEKiOLWaSgtaOqMeSmv19WnHg6WMzqua5d3h8ZV1MQWxtTfngSCFfK9k6JmZpsN796srnIK93mAP9qtgiMOR624ji3LyMt1idgi%2FiarbyBApOap4ctcuA%3D%3D%7Ctkp%3ABk9SR9zwvZOvYQ
"Nouvelle annonceObjectif Sigma 18-35 mm F1,8 DC HSM Art (Canon EF)",100,https://www.ebay.fr/itm/354494194769?hash=item5289802451:g:56wAAOSwrOdjtH0c&amdata=enc%3AAQAHAAAAkHqfp5JRRT5xR6R79%2F5Vu1fqdCvxFFo3caVb%2BvUqKQKsijK1Mae9QtTVKtutmbdV8ZMKOegh5BW5V%2FaeuBI%2F%2Bgoo0TL31Kc7%2Bo8b%2BmtjkArggpG%2BmH0%2F4lebd8ZHdWmplcHZeKYfhoUmLNXNLZzpiv9cJa4D3zCghp2D%2BFhZQPGVz2dvgpalOSYPoJ3s4hVVDg%3D%3D%7Ctkp%3ABk9SR9zwvZOvYQ
